lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,poorSignalLevel,meditation,attention
245645,51407,393659,106626,139532,98595,444878,210314,200,0,0
145362,214305,130829,123218,80420,50475,603394,582542,200,0,0
341433,137540,82402,82168,54690,76410,1481339,137965,200,0,0
418485,193122,141020,110130,158472,58308,453704,339862,200,0,0
446139,374986,940395,334990,499819,352580,1713150,1962243,200,0,0
162363,27605,201100,107301,60766,313429,287403,558547,200,0,0
53032,49935,62326,26240,18958,46391,94866,75450,200,0,0
308762,69645,111527,160176,65760,156542,1008451,265130,200,0,0
31864,229580,210436,100005,54209,81409,521559,710342,200,0,0
514393,54966,222380,87539,59525,79055,335870,1090555,200,0,0
70719,113334,157228,183762,52601,161243,1139010,398443,200,0,0
79710,93032,234767,55581,44917,103762,1522648,386442,200,0,0
221608,70736,239835,108545,75866,158449,787755,688850,200,0,0
359570,217440,1015063,448858,421590,274030,1557761,1705301,200,0,0
159086,71275,364776,104394,64455,110236,521410,1039790,200,0,0
159086,71275,364776,104394,64455,110236,521410,1039790,200,0,0
30002,104972,160361,89448,32973,50548,924738,689070,200,0,0
185000,94771,63774,149075,162058,140595,115479,975664,200,0,0
318638,71886,96861,101009,108297,72562,677073,123798,200,0,0
187353,28584,87442,140991,56246,96735,244685,449915,200,0,0
161294,149271,70552,128147,62802,89465,444777,502321,200,0,0
84646,19302,363332,178575,63044,35644,1144294,394527,200,0,0
123599,169477,108571,173651,103141,119059,1274461,536545,200,0,0
311875,117721,597572,78547,62790,57498,531515,89129,200,0,0
169791,53464,192355,67990,148184,202055,348837,348896,200,0,0
24685,61910,313759,79301,81619,305552,493290,362385,200,0,0
43902,188884,553596,115900,59554,82202,496260,215665,200,0,0
204288,207724,159748,134092,29692,31294,1344749,576497,200,0,0
199849,95674,392221,82013,102757,69900,213765,613163,200,0,0
282543,17690,288179,107837,119849,196352,189711,411428,200,0,0
108337,149592,167415,116177,72876,113333,482291,523126,200,0,0
50442,103123,368948,58656,42352,124424,513873,912811,200,0,0
203519,130662,250928,74216,104293,83523,825487,549624,200,0,0
131127,231828,65991,157071,100427,99470,975648,421148,200,0,0
132893,218039,163384,143729,61792,84940,1265058,335521,200,0,0
132893,218039,163384,143729,61792,84940,1265058,335521,200,0,0
263154,53381,594917,140251,200906,113920,558696,242485,200,0,0
155774,108387,149608,130025,50626,102009,519804,703410,200,0,0
363899,8721,261874,184343,157274,121123,331189,310015,200,0,0
379455,29455,120097,150862,49273,134559,757167,848670,200,0,0
234504,59400,153653,112536,60950,114903,250455,333870,200,0,0
173951,57415,210695,151005,56835,100169,211008,338779,200,0,0
131612,24425,222987,129061,90255,231513,153017,348624,200,0,0
103745,47981,259741,260248,92579,60233,470288,399503,200,0,0
160285,81557,326420,74929,64894,86937,322174,991035,200,0,0
257849,409949,169053,195550,87373,161779,441049,517249,200,0,0
113203,22300,67250,37365,21334,22911,43886,15615,200,0,0
143139,184105,337588,205689,77954,131425,959902,473246,200,0,0
137301,112782,161378,114511,191348,149667,219983,688833,200,0,0
668789,36612,208988,79955,111184,95564,441313,720657,200,0,0
170205,326435,268455,85348,42609,80249,984700,512631,200,0,0
88067,179385,127662,88393,62977,135466,792093,891623,200,0,0
84949,57961,187558,128493,81078,78486,445365,415875,200,0,0
88667,88975,173370,107278,196025,97132,255839,229847,200,0,0
274227,74609,197507,128882,168571,48807,478367,1364904,200,0,0
108624,20237,19169,52464,37271,30316,44741,138599,200,0,0
211897,35473,101326,91865,89656,55662,616767,963430,200,0,0
78483,39093,56648,55554,26037,16918,145122,108913,200,0,0
345262,95988,253798,212488,105324,79014,152457,149384,200,0,0
177094,40303,338835,107921,141380,138115,118022,315636,200,0,0
252426,163473,261753,90461,39719,57185,284221,642114,200,0,0
78802,35428,127736,68694,95205,76761,372293,516310,200,0,0
317000,40996,340073,83181,41960,54810,527236,417723,200,0,0
192664,57598,251800,141674,87235,111455,789069,427093,200,0,0
289505,53820,276183,147108,67320,61573,426589,357088,200,0,0
107782,37197,248155,76492,72608,125369,555579,224182,200,0,0
340552,48261,210698,160202,67333,122367,478617,309904,200,0,0
236226,183415,209081,73873,99946,56939,341576,527576,200,0,0
105214,47917,109291,123941,81312,85078,903971,510202,200,0,0
45114,191199,265777,78388,108219,106626,668558,674700,200,0,0
700394,62090,138589,364178,63741,44139,1172157,456288,200,0,0
21688,64848,372505,210248,54490,92091,506999,674564,200,0,0
117065,154369,135219,184343,91168,60773,283919,658160,200,0,0
327341,107108,479358,84893,132349,139898,545073,576408,200,0,0
11758,18482,111911,20282,12532,54545,642067,63922,200,0,0
236593,141534,80428,166445,75497,178711,587647,1264759,200,0,0
173181,52402,224391,139806,80999,103870,517622,473589,200,0,0
191723,105799,120413,175143,35872,121875,630373,907275,200,0,0
284999,58961,200465,265538,266833,87228,556816,531595,200,0,0
500469,182639,211494,131200,187541,90749,181752,470171,200,0,0
75609,143182,326534,92004,108775,72518,529902,705824,200,0,0
83379,28171,72601,38227,32499,18281,39840,64440,200,0,0
