delta,theta,alpha,beta,gama,Color
-0.0436010638378,-0.0278660095598,-0.0217076368138,-1.28727172887,0.216434870549,blue
-0.0615860343688,-0.0359386156322,0.00733703161654,-3.07110746774,-3.9135200026,blue
-0.0843132838978,-0.0443065597999,0.0502029743485,-4.15601768089,-4.78472555535,blue
-0.112319654112,-0.0522819390167,0.104149866679,-3.75142119005,-0.759289639127,blue
-0.146036213319,-0.0589816789446,0.163645735092,-1.53927962871,4.30223650976,blue
-0.185718218439,-0.0633217877483,0.220938733363,2.00617945338,5.04521856114,blue
-0.231366075801,-0.064025155929,0.266989949057,5.6079902624,0.923973075177,blue
-0.282653593328,-0.059661330415,0.292470197984,7.59347461289,-3.09404103482,blue
-0.338881508283,-0.0487355401235,0.288581737234,6.63335671313,-2.62999334778,blue
-0.398968241252,-0.0298334788869,0.247660405595,2.51746120077,0.757369506273,blue
-0.461477063278,-0.0018100606431,0.163752665437,-3.43817447795,1.79837149315,blue
-0.524665152053,0.0360078120874,0.0334947922675,-8.67756203046,-1.48209595715,blue
-0.586534544181,0.0836415073821,-0.14249113629,-10.4298758283,-4.92552305187,blue
-0.644869936176,0.140334236539,-0.357797476897,-7.11864145705,-3.19785705382,blue
-0.697260208813,0.204491920071,-0.598525706088,0.523468443856,3.55569103973,blue
-0.741112904539,0.27368775528,-0.842417917481,9.33045359402,9.2955143807,blue
-0.773673832413,0.344719633315,-1.05949207291,14.8822240721,8.20080873635,blue
-0.792056580453,0.413714044575,-1.21447975827,13.6218756029,0.299985062439,blue
-0.793278648521,0.476275915118,-1.27092003972,4.90517126979,-8.95287848002,blue
-0.774298603815,0.527683668925,-1.19640907318,-8.18729570833,-13.4134723787,blue
-0.732050488638,0.563124210458,-0.968276488385,-19.9137821446,-9.98434224664,blue
-0.663474384911,0.577957146289,-0.578844308272,-24.459721191,0.470140771854,blue
-0.565544291801,0.567993149947,-0.039420972509,-18.8169828679,13.1117218438,blue
-0.435294324794,0.529770267099,0.617726675664,-4.46878049018,19.8880613972,blue
-0.269842130713,0.460813757429,1.3399915215,13.0490052932,13.7344097886,blue
-0.0664095697853,0.35986430218,2.0578706436,26.5534597483,-4.41712696578,blue
0.17765402426,0.22705535101,2.69104251495,30.4225196893,-22.7687537287,blue
0.464837775213,0.0640200039486,3.15650174024,23.0692831134,-26.0507376834,blue
0.797420550926,-0.126083753441,3.37794261777,7.56540453343,-9.10983840589,blue
